job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform,city,province,salary_visible,salary_min,salary_max,title_length,requirements_length
Software Developer Officer,PT Lentera Kreasi Teknologi,"Jakarta Barat,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Laravel | +12,15 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,8000000,12000000,26,13
Entry-Level Software Developer,PT Azentra Solusi Digital,"Kab. Tangerang,Banten","Rp 5 jt-5,5 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),Hybrid | +4,18 hari yang lalu,glints,Kab. Tangerang,Banten,1,5000000,5500000,30,11
Flutter Developer,PropNex Indonesia,"Surabaya,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | REST API,28 hari yang lalu,glints,Surabaya,Jawa Timur,0,0,0,17,13
Flutter Developer,ALL MEDIA INDO,"Kab. Sidoarjo,Jawa Timur",Rp 2 jt-3 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,+2 | Database Management | Flutter,17 hari yang lalu,glints,Kab. Sidoarjo,Jawa Timur,1,2000000,3000000,17,34
Software Developer Intern/Staff - Jakarta,PT. Norxel Teknologi Indonesia,"Jakarta Utara,DKI Jakarta","Rp 3,6 jt-4,5 jt",Kontrak,Not Specified,Minimal Sarjana (S1),+3 | C++ | MySQL,6 hari yang lalu,glints,Jakarta Utara,DKI Jakarta,1,3600000,4500000,41,16
Software .Net Developer,Pt Profescipta Wahanatehnik,"Kab. Magelang,Jawa Tengah",Rp 3 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+4 | Microsoft SQL Server,17 hari yang lalu,glints,Kab. Magelang,Jawa Tengah,1,3000000,6000000,23,25
FULLSTACK DEVELOPER FLUTTER,PT Cartenz Technology Indonesia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | jQuery,Kemarin,glints,Jakarta Selatan,DKI Jakarta,0,0,0,27,11
IT Developer and software,PT Mitra Foto Abadi,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Backend Development | +8,8 hari yang lalu,glints,Kab. Tangerang,Banten,0,0,0,25,24
Fullstack Developer,PT Lumos Inisiatif Indonesia,"Jakarta Barat,DKI Jakarta","Rp 5,6 jt-8,4 jt",Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+2 | Go / Golang,2 hari yang lalu,glints,Jakarta Barat,DKI Jakarta,1,5600000,8400000,19,16
Fullstack Developer,PT Traders Family International,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | MySQL,2 hari yang lalu,glints,Jakarta Utara,DKI Jakarta,0,0,0,19,10
Fullstack Developer,PT. Amar Mulia Bersama,"Jakarta Utara,DKI Jakarta","Rp 6 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | MySQL,3 hari yang lalu,glints,Jakarta Utara,DKI Jakarta,1,6000000,6500000,19,10
Web Developer,PT. CITRA WARNA ABADI,"Kab. Sukoharjo,Jawa Tengah","Rp 2,5 jt-3,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | PostgreSQL,22 jam yang lalu,glints,Kab. Sukoharjo,Jawa Tengah,1,2500000,3500000,13,15
Fullstack Developer,PT. Tenaga Kanggo Indonesia,"Kab. Tangerang,Banten",Rp 6 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | React.js,15 hari yang lalu,glints,Kab. Tangerang,Banten,1,6000000,10000000,19,13
