job_title,company_name,location,salary_range,job_type,experience_level,education_req,job_requirements,posted_date,source_platform
Software Engineer Intern,Imperial Healthtech,"Semarang,Jawa Tengah",Tidak Ditampilkan,Magang,Not Specified,Minimal SMA/SMK,+2 | React.js | PostgreSQL,22 hari yang lalu,glints
Software Engineer (IT Operational Engineer),Pt. Solusi Pembayaran Elektronik,"Tangerang,Banten",Rp 10 jt-12 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Hybrid | +6,3 hari yang lalu,glints
Software Engineer Intern,Studia Academy Ltd,"Jakarta Barat,DKI Jakarta","Rp 2,5 jt-3,5 jt",Magang,Not Specified,Minimal Sarjana (S1),Hybrid | TypeScript | +5,25 hari yang lalu,glints
Junior Software Engineer,iQuartz Pte Ltd,"Jakarta Pusat,DKI Jakarta",Rp 6 jt-7 jt,Penuh Waktu,Not Specified,Minimal Sarjana (S1),PostgreSQL | React.js | Go / Golang,29 hari yang lalu,glints
Software Development Engineer,PT Fan Integrasi Teknologi,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+2 | Springboot,3 hari yang lalu,glints
Software QA Engineer,PT Inosoft Trans Sistem,"Surabaya,Jawa Timur",Rp 5 jt-7 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Remote/Dari rumah | +12,4 hari yang lalu,glints
Software Developer,Pt. Swadharma Duta Data,"Jakarta Pusat,DKI Jakarta",Rp 7 jt-10 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+9 | Oracle Database,2 hari yang lalu,glints
Software Developer,PT Tomorrow World Internasional,"Jakarta Barat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | Software Development,3 hari yang lalu,glints
Software Developer,PT Tigernix Solutions Indonesia,"Batam,Kepulauan Riau",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal SMA/SMK,+3 | Node.js,2 hari yang lalu,glints
Software Developer,AFRA,"Tangerang Selatan,Banten","Rp 7,5 jt-9 jt",Penuh Waktu,3–5 tahun,Minimal Diploma (D1 - D4),+10 | Restful API,4 hari yang lalu,glints
Software Developer,PT Panorama Sentrawisata Tbk,"Jakarta Barat,DKI Jakarta",Rp 10 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+6 | Problem Solving,10 hari yang lalu,glints
Software Developer,PT VENTERA INTELLIX GROUP,"Kab. Klaten,Jawa Tengah","Rp 3,5 jt-5 jt",Penuh Waktu,Not Specified,Minimal Sarjana (S1),Hybrid | +7 | GIT,4 hari yang lalu,glints
Software Developer,PT. Karpa Imaji Labs,"Tangerang Selatan,Banten",Rp 10 jt-20 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+5 | Node.js,15 hari yang lalu,glints
Software Developer,PT ALPHA STORY INDONESIA,"Jakarta Pusat,DKI Jakarta",Rp 12 jt-18 jt,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),Python | +4,30 hari yang lalu,glints
Software Developer,Tivinity,"Jakarta Selatan,DKI Jakarta",Rp 5 jt-7 jt,Penuh Waktu,Not Specified,Minimal Diploma (D1 - D4),Hybrid | Restful API | +3,5 hari yang lalu,glints
Software Developer,WIRATEK SOLUSI ASIA,"Kab. Banyumas,Jawa Tengah",Rp 2 jt-3 jt,Kontrak,1–3 tahun,Minimal Sarjana (S1),+7 | PHP,17 hari yang lalu,glints
Software Developer (Golang Developer),PT Sigma Global Teknologi,"Jakarta Barat,DKI Jakarta",Rp 9 jt-13 jt,Kontrak,3–5 tahun,Minimal Sarjana (S1),JavaScript | +12,15 hari yang lalu,glints
Junior Software Developer,PT Stampindo Lancar Jaya,"Jakarta Barat,DKI Jakarta",Rp 6 jt-8 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,Python | Redis | PostgreSQL,30 hari yang lalu,glints
Software Developer Officer,PT Lentera Kreasi Teknologi,"Jakarta Barat,DKI Jakarta",Rp 8 jt-12 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Laravel | +12,15 hari yang lalu,glints
Entry-Level Software Developer,PT Azentra Solusi Digital,"Kab. Tangerang,Banten","Rp 5 jt-5,5 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),Hybrid | +4,18 hari yang lalu,glints
Flutter Developer,PropNex Indonesia,"Surabaya,Jawa Timur",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | REST API,28 hari yang lalu,glints
Flutter Developer,ALL MEDIA INDO,"Kab. Sidoarjo,Jawa Timur",Rp 2 jt-3 jt,Penuh Waktu,Not Specified,Minimal SMA/SMK,+2 | Database Management | Flutter,17 hari yang lalu,glints
Software Developer Intern/Staff - Jakarta,PT. Norxel Teknologi Indonesia,"Jakarta Utara,DKI Jakarta","Rp 3,6 jt-4,5 jt",Kontrak,Not Specified,Minimal Sarjana (S1),+3 | C++ | MySQL,6 hari yang lalu,glints
Software .Net Developer,Pt Profescipta Wahanatehnik,"Kab. Magelang,Jawa Tengah",Rp 3 jt-6 jt,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+4 | Microsoft SQL Server,17 hari yang lalu,glints
FULLSTACK DEVELOPER FLUTTER,PT Cartenz Technology Indonesia,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+2 | jQuery,Kemarin,glints
IT Developer and software,PT Mitra Foto Abadi,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),Backend Development | +8,8 hari yang lalu,glints
Fullstack Developer,PT Lumos Inisiatif Indonesia,"Jakarta Barat,DKI Jakarta","Rp 5,6 jt-8,4 jt",Penuh Waktu,3–5 tahun,Minimal SMA/SMK,+2 | Go / Golang,2 hari yang lalu,glints
Fullstack Developer,PT Traders Family International,"Jakarta Utara,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal SMA/SMK,+5 | MySQL,2 hari yang lalu,glints
Fullstack Developer,PT. Amar Mulia Bersama,"Jakarta Utara,DKI Jakarta","Rp 6 jt-6,5 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+5 | MySQL,3 hari yang lalu,glints
Web Developer,PT. CITRA WARNA ABADI,"Kab. Sukoharjo,Jawa Tengah","Rp 2,5 jt-3,5 jt",Penuh Waktu,1–3 tahun,Minimal Diploma (D1 - D4),+5 | PostgreSQL,22 jam yang lalu,glints
Fullstack Developer,PT. Tenaga Kanggo Indonesia,"Kab. Tangerang,Banten",Rp 6 jt-10 jt,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+4 | React.js,15 hari yang lalu,glints
IOS Developer,PT Code Development Indonesia,"Jakarta Selatan,DKI Jakarta","Rp 6,8 jt-10 jt",Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+2 | React Native,2 hari yang lalu,glints
iOS Developer,PT Visionet Data Internasional,"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+4 | IT Security,8 hari yang lalu,glints
Sr. Flutter Developer,PT Sigma Global Teknologi,"Jakarta Selatan,DKI Jakarta",Rp 10 jt-11 jt,Kontrak,5–10 tahun,Minimal Sarjana (S1),+4 | Restful API,10 hari yang lalu,glints
Fullstack Developer,PT. Menara Integrasi Indonesia,"Kab. Tangerang,Banten",Tidak Ditampilkan,Penuh Waktu,1–3 tahun,Minimal Sarjana (S1),+14 | Node.js,21 hari yang lalu,glints
Mobile Developer (Flutter),PT. Deptech Digital Indonesia,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+2 | iOS Development,12 jam yang lalu,glints
Backend Developer,PT. 4net Prima Solusi,"Jakarta Selatan,DKI Jakarta","Rp 5,8 jt-10 jt",Kontrak,1–3 tahun,Minimal Sarjana (S1),+11 | Node.js,3 hari yang lalu,glints
Backend Developer,VGLANT,"Bandung,Jawa Barat",Tidak Ditampilkan,Penuh Waktu,5–10 tahun,Minimal Diploma (D1 - D4),Hybrid | +17,6 hari yang lalu,glints
Backend Developer,PT. Enigma Cipta Humanika (Enigma Camp),"Tangerang,Banten",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),+5 | Agile Methodologies,2 hari yang lalu,glints
Backend Developer,PT. Barrans Global Mandiri,"Jakarta Pusat,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Sarjana (S1),Quarkus | +5,21 hari yang lalu,glints
Backend Developer,PT KODE KOLEKTIF INDONESIA,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Kontrak,1–3 tahun,Minimal Diploma (D1 - D4),+5 | Java,14 jam yang lalu,glints
Backend Developer,PT Pronata Data Insani,"Jakarta Selatan,DKI Jakarta",Tidak Ditampilkan,Penuh Waktu,3–5 tahun,Minimal Sarjana (S1),+3 | Go / Golang,3 hari yang lalu,glints
